X_Centroid_S,Y_Centroid_S,SOC_10,Stock_C,Profondeur(cm),Depth,Num_Parc_1,Type_sol,Sand,Predicted_FF,FF_0-30,Type_champ,Site,Epaisseur_(cm),Superficie,Da,Parcage,Couverture_sol,Antecedent_cultural,Termitere,Date,Saison,profile_id,Longitude_x,Latitude_x,Longitude_Latitude,ProfileID,Longitude_y,Latitude_y,T_Year,Start_Date,End_Date,Satellite,error,VV,VH,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,SNDVI,SGDVI,SMSAVI2,SPSRINIR,SNDWI,Scigreen,SOC_30,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,LNDVI,LNDWI,LBSI,Lcigreen,X_Centroid_L,Y_Centroid_L
337666.904,1613466.029,7.29,11.08,10,,685.0,3,88.1,6.8,,1,0,10,0.09,1.52,0.0,2.0,2.0,0.0,21/7/2016,SS,"0       337666.904000
1       337666.904000
2       337665.277100
3       337665.277100
4       337901.175800
            ...      
3621    336184.773989
3622    336295.437751
3623    336295.437751
3624    337724.804001
3625    337724.804001
Name: X_Centroid, Length: 3626, dtype: float64_0       1.613466e+06
1       1.613466e+06
2       1.613491e+06
3       1.613491e+06
4       1.613567e+06
            ...     
3621    1.602435e+06
3622    1.602552e+06
3623    1.602552e+06
3624    1.603323e+06
3625    1.603323e+06
Name: Y_Centroid, Length: 3626, dtype: float64",-16.50698122059441,14.589540770954374,"(-16.50698122059441, 14.589540770954374)",IRD_1,-16.50698122059441,14.589540770954374,2016.0,2016-01-01,2016-12-31,Sentinel-2,,,,2695.6000000000004,2649.8,2612.2,3046.6000000000004,3196.6000000000004,3569.2000000000003,3913.2,3869.2,4344.6,1568.8000000000002,364.6,3886.2,3192.4,0.11894502443679682,0.19393958095473202,0.21258045719969232,1.2104110617531125,-0.19393958095473202,0.0767653919558918,1.61,9301.28825271471,10296.758144126356,12456.846989141162,14679.331688055285,19777.19743336624,24596.239881539983,21141.45409674235,0.14795064608354958,-0.10860196414296933,0.13268462483653815,0.09493391628988898,337666.904,1613466.029
337665.2771,1613491.03,12.36,19.28,10,,345.0,3,85.3,7.4,,1,0,10,0.12,1.56,0.0,0.0,2.0,0.0,21/7/2016,SS,"0       337666.904000
1       337666.904000
2       337665.277100
3       337665.277100
4       337901.175800
            ...      
3621    336184.773989
3622    336295.437751
3623    336295.437751
3624    337724.804001
3625    337724.804001
Name: X_Centroid, Length: 3626, dtype: float64_0       1.613466e+06
1       1.613466e+06
2       1.613491e+06
3       1.613491e+06
4       1.613567e+06
            ...     
3621    1.602435e+06
3622    1.602552e+06
3623    1.602552e+06
3624    1.603323e+06
3625    1.603323e+06
Name: Y_Centroid, Length: 3626, dtype: float64",-16.506997857480123,14.589766642649971,"(-16.506997857480123, 14.589766642649971)",IRD_2,-16.506997857480123,14.589766642649971,2016.0,2016-01-01,2016-12-31,Sentinel-2,,,,2702.0,2655.4000000000005,2629.0,3072.8,3217.6000000000004,3567.6000000000004,3905.000000000001,3840.6,4321.6,1565.0,367.0,3878.000000000001,3237.6000000000004,0.11105968119883122,0.18727587486088781,0.1998958577432859,1.1936225758329189,-0.18727587486088781,0.07783506962713532,2.88,9381.411648568608,10348.640671273444,12479.456071076009,14612.936821322804,19286.111549851925,24284.31589338598,21180.730503455085,0.13785563173811233,-0.11471552235849763,0.13515583707576925,0.09334178945586782,337665.2771,1613491.03
337901.1758,1613567.469,3.67,5.62,10,,25.0,2,91.5,3.2,,1,0,10,0.41,1.53,0.0,0.0,2.0,0.0,21/7/2016,SS,"0       337666.904000
1       337666.904000
2       337665.277100
3       337665.277100
4       337901.175800
            ...      
3621    336184.773989
3622    336295.437751
3623    336295.437751
3624    337724.804001
3625    337724.804001
Name: X_Centroid, Length: 3626, dtype: float64_0       1.613466e+06
1       1.613466e+06
2       1.613491e+06
3       1.613491e+06
4       1.613567e+06
            ...     
3621    1.602435e+06
3622    1.602552e+06
3623    1.602552e+06
3624    1.603323e+06
3625    1.603323e+06
Name: Y_Centroid, Length: 3626, dtype: float64",-16.50481317850653,14.590471649283188,"(-16.50481317850653, 14.590471649283188)",IRD_3,-16.50481317850653,14.590471649283188,2016.0,2016-01-01,2016-12-31,Sentinel-2,,,,2698.0,2570.0,2577.0,3113.0,3281.0,3643.0,4059.0,3889.0,4418.0,1592.0,350.0,4099.0,3410.0,0.11082547843473294,0.2029075162387875,0.1995166225583489,1.185309356903383,-0.2029075162387875,0.09420035149384885,2.17,10402.21597633136,11294.0157790927,13830.328402366864,16600.637080867848,21326.907297830378,28143.011834319528,25794.82642998028,0.12461313523943858,-0.13778281137434578,0.15669608874072952,0.10095040113110008,337901.1758,1613567.469
337918.0692,1613496.755,5.05,7.88,10,,648.0,2,90.2,4.2,,1,0,10,0.17,1.56,0.0,0.0,2.0,0.0,21/7/2016,SS,"0       337666.904000
1       337666.904000
2       337665.277100
3       337665.277100
4       337901.175800
            ...      
3621    336184.773989
3622    336295.437751
3623    336295.437751
3624    337724.804001
3625    337724.804001
Name: X_Centroid, Length: 3626, dtype: float64_0       1.613466e+06
1       1.613466e+06
2       1.613491e+06
3       1.613491e+06
4       1.613567e+06
            ...     
3621    1.602435e+06
3622    1.602552e+06
3623    1.602552e+06
3624    1.603323e+06
3625    1.603323e+06
Name: Y_Centroid, Length: 3626, dtype: float64",-16.50465204783986,14.589833517308367,"(-16.50465204783986, 14.589833517308367)",IRD_4,-16.50465204783986,14.589833517308367,2016.0,2016-01-01,2016-12-31,Sentinel-2,,,,2705.230769230769,2556.692307692308,2567.6153846153848,3092.961538461538,3256.846153846154,3610.961538461538,3965.25,3874.326923076923,4383.788461538461,1590.8076923076922,344.9807692307692,4033.9038461538457,3329.7115384615386,0.11214770120811819,0.2028443404252778,0.20165693407398066,1.1895946999220577,-0.2028443404252778,0.09280788177339894,2.82,10219.085714285711,11103.708374384238,13517.827586206897,16227.502463054188,21110.74088669951,27282.456157635464,24554.470935960588,0.13078382873835798,-0.1275327039311289,0.14916603081586713,0.09804909066951234,337918.0692,1613496.755
337909.1275,1613460.846,6.51,10.28,10,,675.0,2,88.8,6.0,,1,0,10,0.09,1.58,0.0,0.0,2.0,0.0,21/7/2016,SS,"0       337666.904000
1       337666.904000
2       337665.277100
3       337665.277100
4       337901.175800
            ...      
3621    336184.773989
3622    336295.437751
3623    336295.437751
3624    337724.804001
3625    337724.804001
Name: X_Centroid, Length: 3626, dtype: float64_0       1.613466e+06
1       1.613466e+06
2       1.613491e+06
3       1.613491e+06
4       1.613567e+06
            ...     
3621    1.602435e+06
3622    1.602552e+06
3623    1.602552e+06
3624    1.603323e+06
3625    1.603323e+06
Name: Y_Centroid, Length: 3626, dtype: float64",-16.504732830503073,14.589508422152495,"(-16.504732830503073, 14.589508422152495)",IRD_5,-16.504732830503073,14.589508422152496,2016.0,2016-01-01,2016-12-31,Sentinel-2,,,,2726.6000000000004,2570.8,2558.4,3044.4,3209.4,3534.4000000000005,3919.2000000000007,3767.2,4338.6,1603.4,345.8,3890.8,3237.8,0.10611310118033937,0.19109649677500942,0.19184606058206555,1.1738019567520408,-0.19109649677500942,0.08674234311415721,3.25,10095.584402764069,10882.888450148072,13032.569595261595,15320.35340572557,20030.71273445212,25631.906219151035,23030.27739387956,0.13324518446059166,-0.12266474444644031,0.13968605297708528,0.08988668086690205,337909.1275,1613460.846
338007.7732,1613526.924,3.25,5.14,10,,153.0,3,91.1,3.8,,1,0,10,2.57,1.58,0.0,0.0,2.0,0.0,21/7/2016,SS,"0       337666.904000
1       337666.904000
2       337665.277100
3       337665.277100
4       337901.175800
            ...      
3621    336184.773989
3622    336295.437751
3623    336295.437751
3624    337724.804001
3625    337724.804001
Name: X_Centroid, Length: 3626, dtype: float64_0       1.613466e+06
1       1.613466e+06
2       1.613491e+06
3       1.613491e+06
4       1.613567e+06
            ...     
3621    1.602435e+06
3622    1.602552e+06
3623    1.602552e+06
3624    1.603323e+06
3625    1.603323e+06
Name: Y_Centroid, Length: 3626, dtype: float64",-16.50382135663012,14.59011156050252,"(-16.50382135663012, 14.59011156050252)",IRD_6,-16.50382135663012,14.59011156050252,2016.0,2016-01-01,2016-12-31,Sentinel-2,,,,2632.74358974359,2505.299145299145,2519.649572649573,3045.025641025641,3187.2393162393164,3526.9230769230776,3891.8034188034194,3794.4700854700864,4281.692307692308,1509.1794871794873,313.84615384615387,4049.290598290599,3387.452991452992,0.10957597963562576,0.20189996101533397,0.19748876235371426,1.1905193520100188,-0.20189996101533397,0.0944127102126201,4.44,10365.704837117475,11176.654491609082,13661.83316880553,16516.62882527147,21100.176702862784,28016.75222112537,25857.398815399803,0.12184840826431155,-0.14081856642475482,0.15956927463616072,0.10005354235624841,338007.7732,1613526.924
338133.9265,1613397.258,5.24,7.76,10,,154.0,1,88.4,6.7,,1,0,10,0.97,1.48,0.0,0.0,,,21/7/2016,SS,"0       337666.904000
1       337666.904000
2       337665.277100
3       337665.277100
4       337901.175800
            ...      
3621    336184.773989
3622    336295.437751
3623    336295.437751
3624    337724.804001
3625    337724.804001
Name: X_Centroid, Length: 3626, dtype: float64_0       1.613466e+06
1       1.613466e+06
2       1.613491e+06
3       1.613491e+06
4       1.613567e+06
            ...     
3621    1.602435e+06
3622    1.602552e+06
3623    1.602552e+06
3624    1.603323e+06
3625    1.603323e+06
Name: Y_Centroid, Length: 3626, dtype: float64",-16.502642573874223,14.588947121972398,"(-16.502642573874223, 14.588947121972398)",IRD_7,-16.502642573874223,14.588947121972398,2016.0,2016-01-01,2016-12-31,Sentinel-2,,,,2651.605769230769,2432.5192307692305,2416.2115384615386,2924.3653846153848,3085.4711538461543,3469.8942307692305,3858.125,3658.307692307693,4249.932692307692,1527.9807692307695,305.50961538461536,3994.990384615385,3326.3846153846152,0.11149608967598507,0.20447645429362885,0.20060153194754093,1.1856560991495502,-0.20447645429362885,0.09514961650642756,2.78,10322.370553359682,11187.454545454544,13609.738142292488,16178.544466403164,21005.475296442688,27521.16897233201,24983.906126482216,0.1298119692498275,-0.13427043584140755,0.15161922288420857,0.09768378329514939,338133.9265,1613397.258
338119.5215,1613567.353,3.5,5.5,10,,196.0,3,89.3,6.1,,1,0,10,0.33,1.57,0.0,0.0,2.0,0.0,21/7/2016,SS,"0       337666.904000
1       337666.904000
2       337665.277100
3       337665.277100
4       337901.175800
            ...      
3621    336184.773989
3622    336295.437751
3623    336295.437751
3624    337724.804001
3625    337724.804001
Name: X_Centroid, Length: 3626, dtype: float64_0       1.613466e+06
1       1.613466e+06
2       1.613491e+06
3       1.613491e+06
4       1.613567e+06
            ...     
3621    1.602435e+06
3622    1.602552e+06
3623    1.602552e+06
3624    1.603323e+06
3625    1.603323e+06
Name: Y_Centroid, Length: 3626, dtype: float64",-16.50278669857985,14.590483651977955,"(-16.50278669857985, 14.590483651977955)",IRD_8,-16.50278669857985,14.590483651977957,2016.0,2016-01-01,2016-12-31,Sentinel-2,,,,2544.0,2433.0,2463.0,2979.0,3134.0,3477.0,3855.0,3754.0,4251.0,1465.0,287.0,4228.0,3517.0,0.115104708153869,0.20765642592890463,0.20642463858439442,1.1978302488832164,-0.20765642592890463,0.09481808158765159,3.66,10503.423076923078,11264.480276134122,13692.7741617357,16551.284023668642,21070.68343195266,28060.60453648915,25739.92209072978,0.12012660990191651,-0.14227025981949185,0.1595476953330611,0.09729811793387483,338119.5215,1613567.353
338083.121,1613585.763,3.24,5.09,10,,204.0,3,89.6,4.9,,1,0,10,0.1,1.57,0.0,0.0,2.0,0.0,21/7/2016,SS,"0       337666.904000
1       337666.904000
2       337665.277100
3       337665.277100
4       337901.175800
            ...      
3621    336184.773989
3622    336295.437751
3623    336295.437751
3624    337724.804001
3625    337724.804001
Name: X_Centroid, Length: 3626, dtype: float64_0       1.613466e+06
1       1.613466e+06
2       1.613491e+06
3       1.613491e+06
4       1.613567e+06
            ...     
3621    1.602435e+06
3622    1.602552e+06
3623    1.602552e+06
3624    1.603323e+06
3625    1.603323e+06
Name: Y_Centroid, Length: 3626, dtype: float64",-16.503125662277043,14.590647874739055,"(-16.503125662277043, 14.590647874739055)",IRD_9,-16.503125662277043,14.590647874739055,2016.0,2016-01-01,2016-12-31,Sentinel-2,,,,2610.2,2447.2,2503.4,3056.6,3196.6000000000004,3520.4,3878.6,3827.4,4259.2,1485.6,307.8,4216.0,3500.2000000000003,0.11196978500871589,0.20913628609338472,0.20136896855456143,1.19733466808484,-0.20913628609338472,0.09949640287769781,2.09,10456.212614445574,11253.679552390638,13712.873855544249,16599.714140386568,21176.293997965407,27889.21871820956,25458.847405900306,0.12115043603382966,-0.13681554209115934,0.15677497082611416,0.09849955109831168,338083.121,1613585.763
337838.0577,1613417.842,6.48,10.12,10,,198.0,3,89.3,5.2,,1,0,10,0.31,1.56,0.0,0.0,2.0,0.0,21/7/2016,SS,"0       337666.904000
1       337666.904000
2       337665.277100
3       337665.277100
4       337901.175800
            ...      
3621    336184.773989
3622    336295.437751
3623    336295.437751
3624    337724.804001
3625    337724.804001
Name: X_Centroid, Length: 3626, dtype: float64_0       1.613466e+06
1       1.613466e+06
2       1.613491e+06
3       1.613491e+06
4       1.613567e+06
            ...     
3621    1.602435e+06
3622    1.602552e+06
3623    1.602552e+06
3624    1.603323e+06
3625    1.603323e+06
Name: Y_Centroid, Length: 3626, dtype: float64",-16.505389786070417,14.589115482988158,"(-16.505389786070417, 14.589115482988158)",IRD_10,-16.505389786070417,14.589115482988158,2016.0,2016-01-01,2016-12-31,Sentinel-2,,,,2728.0,2554.285714285714,2559.2380952380954,3015.3809523809523,3185.5238095238096,3512.0952380952385,3889.095238095239,3729.238095238096,4232.619047619048,1585.0,349.0,3872.3809523809527,3247.857142857143,0.1058409878774615,0.18605461236729323,0.19140096215687663,1.1706828509925857,-0.18605461236729323,0.08182493785609946,2.57,10176.94674556213,11042.134122287967,13290.252465483234,15749.803747534515,20228.278106508875,26865.94970414201,24429.890532544377,0.1244778522974828,-0.14094448313965033,0.15355163065225932,0.09239201979164305,337838.0577,1613417.842
