ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
3.0,-16.549982311336667,14.536585797242642,2020.0,2020-01-01,2020-12-31,Sentinel-2,962.2666666666667,1222.1333333333332,1771.1428571428569,2446.133333333333,2761.2571428571428,3025.8571428571427,3261.304761904762,3485.9523809523807,3636.4095238095233,3702.895238095238,5507.942857142857,5137.866666666666
4.0,-16.550031998601256,14.53879743913718,2020.0,2020-01-01,2020-12-31,Sentinel-2,925.8620689655172,1045.7413793103449,1538.1379310344828,2084.637931034483,2417.6379310344823,2840.396551724138,3064.5517241379307,3284.8275862068967,3470.2068965517237,3579.8448275862065,4857.827586206897,4323.896551724138
6.0,-16.550132796488263,14.54328362783641,2020.0,2020-01-01,2020-12-31,Sentinel-2,1040.0,1303.0,1873.0,2599.0,2935.0,3207.0,3480.0,3675.0,3841.0,4002.0,5780.0,5190.0
2.0,-16.54993653136301,14.534547943898634,2020.0,2020-01-01,2020-12-31,Sentinel-2,1005.3490566037734,1301.2830188679245,1913.1603773584905,2648.2924528301887,3030.094339622641,3344.075471698113,3582.6603773584907,3792.2169811320755,3945.8301886792456,3829.5,5691.009433962265,5236.330188679246
1.0,-16.549902622600356,14.533038446299535,2020.0,2020-01-01,2020-12-31,Sentinel-2,1061.5238095238094,1262.7777777777778,1874.4206349206347,2630.2142857142853,3036.3650793650795,3421.365079365079,3685.6825396825398,3880.0952380952385,4067.626984126984,4080.253968253968,5814.460317460317,5166.626984126984
5.0,-16.550082293044753,14.54103595796396,2020.0,2020-01-01,2020-12-31,Sentinel-2,1020.0,1276.0,1852.0,2599.0,2968.0,3234.0,3514.0,3735.0,3868.0,4083.0,5692.0,4996.0
7.0,-16.550183397788537,14.54553550093014,2020.0,2020-01-01,2020-12-31,Sentinel-2,1083.0,1330.7809523809526,1910.4476190476191,2645.104761904762,3018.447619047619,3385.5809523809526,3608.5333333333333,3835.8285714285716,4048.8571428571427,4095.0,5736.895238095239,5042.104761904762
8.0,-16.550234053688207,14.547789651523612,2020.0,2020-01-01,2020-12-31,Sentinel-2,1035.0,1281.6037735849059,1824.1792452830189,2524.943396226415,2936.594339622641,3216.5,3450.0849056603774,3684.7641509433965,3842.443396226415,3974.0,5471.915094339623,4550.679245283019
10.0,-16.550335457457482,14.552301587541375,2020.0,2020-01-01,2020-12-31,Sentinel-2,948.5999999999999,1087.961904761905,1482.257142857143,1881.3047619047622,2189.476190476191,2646.361904761905,2902.114285714286,3087.161904761905,3202.8476190476194,3399.8,4152.590476190477,3610.238095238096
9.0,-16.550284743851385,14.550045174300536,2020.0,2020-01-01,2020-12-31,Sentinel-2,1092.0,1343.1698113207547,1960.2075471698113,2710.8584905660377,3116.3396226415093,3386.9245283018868,3634.7735849056603,3880.754716981132,4038.8867924528304,4107.0,5854.584905660377,5090.556603773584
11.0,-16.550386188218766,14.554558611318214,2020.0,2020-01-01,2020-12-31,Sentinel-2,1045.992125984252,1289.9448818897638,1831.3779527559052,2545.4645669291335,2897.141732283465,3230.094488188977,3444.157480314961,3684.7007874015753,3863.984251968504,3857.472440944882,5532.984251968504,4836.3385826771655
12.0,-16.550436932231868,14.556816071848486,2020.0,2020-01-01,2020-12-31,Sentinel-2,1157.0,1387.0,1950.0,2635.0,2938.0,3265.0,3458.0,3671.0,3836.0,3964.0,5883.0,5480.0
13.0,-16.550487686945473,14.55907385554004,2020.0,2020-01-01,2020-12-31,Sentinel-2,1053.0,1275.8235294117646,1793.470588235294,2428.470588235294,2826.529411764706,3014.176470588235,3260.117647058824,3442.6470588235293,3625.705882352941,3596.0,5592.0,5161.235294117647
14.0,-16.550538450621612,14.561331885008684,2020.0,2020-01-01,2020-12-31,Sentinel-2,1070.0,1388.2,1948.8000000000002,2687.8,2975.2,3209.0000000000005,3401.2000000000003,3631.4,3679.2000000000003,3710.0,5709.6,5320.599999999999
15.0,-16.5505892220355,14.563590105716193,2020.0,2020-01-01,2020-12-31,Sentinel-2,1075.047619047619,1302.4761904761906,1902.666666666667,2633.095238095238,2961.190476190476,3131.7619047619046,3317.0000000000005,3536.571428571429,3684.2380952380954,3712.1428571428573,5771.857142857143,5311.619047619048
16.0,-16.550640000299186,14.565848478118836,2020.0,2020-01-01,2020-12-31,Sentinel-2,1046.6349206349207,1254.6349206349207,1741.7460317460316,2387.8253968253966,2705.7619047619046,2901.984126984127,3149.555555555555,3381.4920634920636,3521.0952380952376,3631.0317460317456,5233.0952380952385,4550.047619047618
