ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,QA_PIXEL
IRD_8,-16.50278669857985,14.590483651977957,2016,2016-01-01,2016-12-31,Landsat-8,10503.423076923078,11264.480276134122,13692.7741617357,16551.284023668642,21070.68343195266,28060.60453648915,25739.92209072978,21824.0
IRD_7,-16.502642573874223,14.588947121972398,2016,2016-01-01,2016-12-31,Landsat-8,10322.370553359682,11187.454545454544,13609.738142292488,16178.544466403164,21005.475296442688,27521.168972332012,24983.906126482216,21824.0
IRD_3,-16.50481317850653,14.590471649283188,2016,2016-01-01,2016-12-31,Landsat-8,10402.21597633136,11294.0157790927,13830.328402366864,16600.637080867848,21326.907297830378,28143.011834319528,25794.826429980276,21824.0
IRD_5,-16.504732830503073,14.589508422152496,2016,2016-01-01,2016-12-31,Landsat-8,10095.584402764069,10882.888450148072,13032.569595261595,15320.35340572557,20030.71273445212,25631.906219151035,23030.27739387956,21824.0
IRD_4,-16.50465204783986,14.589833517308367,2016,2016-01-01,2016-12-31,Landsat-8,10219.085714285711,11103.708374384238,13517.827586206897,16227.502463054188,21110.74088669951,27282.456157635464,24554.470935960588,21824.0
IRD_1,-16.50698122059441,14.589540770954374,2016,2016-01-01,2016-12-31,Landsat-8,9301.28825271471,10296.758144126356,12456.846989141162,14679.331688055285,19777.197433366237,24596.239881539983,21141.45409674235,21824.0
IRD_2,-16.506997857480123,14.589766642649971,2016,2016-01-01,2016-12-31,Landsat-8,9381.411648568608,10348.640671273444,12479.456071076009,14612.936821322804,19286.111549851925,24284.31589338598,21180.730503455085,21824.0
IRD_6,-16.50382135663012,14.59011156050252,2016,2016-01-01,2016-12-31,Landsat-8,10365.704837117475,11176.654491609082,13661.83316880553,16516.62882527147,21100.176702862784,28016.752221125374,25857.398815399803,21824.0
IRD_10,-16.505389786070417,14.589115482988158,2016,2016-01-01,2016-12-31,Landsat-8,10176.94674556213,11042.134122287967,13290.252465483234,15749.803747534515,20228.278106508875,26865.94970414201,24429.890532544377,21824.0
IRD_9,-16.503125662277043,14.590647874739055,2016,2016-01-01,2016-12-31,Landsat-8,10456.212614445574,11253.679552390638,13712.873855544249,16599.714140386568,21176.293997965407,27889.21871820956,25458.847405900306,21824.0
IRD_17,-16.529205831599658,14.613772549343047,2016,2016-01-01,2016-12-31,Landsat-8,9978.65019762846,10765.847826086956,12804.652173913042,15050.750988142292,19225.156126482212,26872.95652173913,24123.426877470356,21824.0
IRD_16,-16.52889227567515,14.613293882214867,2016,2016-01-01,2016-12-31,Landsat-8,9915.086870681143,10688.498519249752,12641.806515301085,14811.143139190523,18913.48272458045,26766.964461994074,24084.070088845016,21824.0
IRD_11,-16.500986805745914,14.579464652335734,2016,2016-01-01,2016-12-31,Landsat-8,10027.729783037475,10871.957593688361,13165.874753451679,15539.211045364891,20127.371794871793,26506.300788954635,23890.86587771203,21824.0
IRD_14,-16.528639407399186,14.611988669980342,2016,2016-01-01,2016-12-31,Landsat-8,9877.159763313608,10582.463510848125,12523.880670611441,14563.44970414201,18789.494082840236,25602.030571992113,22767.715976331358,21824.0
IRD_12,-16.507865037377435,14.585908536552227,2016,2016-01-01,2016-12-31,Landsat-8,10516.46396841066,11329.95952615992,13878.163869693977,17031.176702862784,21505.974333662387,28417.984205330704,26110.13425468904,21824.0
IRD_15,-16.527174887351578,14.61281252739986,2016,2016-01-01,2016-12-31,Landsat-8,9747.87869822485,10566.689349112423,12630.900394477318,14985.33037475345,20142.741617357,26562.989151873768,22371.666666666668,21824.0
IRD_13,-16.529097866651092,14.61164894524053,2016,2016-01-01,2016-12-31,Landsat-8,10019.56311637081,10756.045364891519,12849.863905325443,15085.495069033534,19220.343195266272,26794.83727810651,24144.346153846152,21824.0
IRD_18,-16.533504268903478,14.617481587720153,2016,2016-01-01,2016-12-31,Landsat-8,9879.806515301085,10565.369200394865,12306.791707798617,14198.817374136226,18109.332675222115,25237.249753208285,22665.424481737413,21824.0
IRD_22,-16.531867292457797,14.615426486139008,2016,2016-01-01,2016-12-31,Landsat-8,10106.611056268508,10891.813425468903,13136.22309970385,15627.606120434351,19922.488647581446,27238.00789733465,24191.92793682132,21824.0
IRD_20,-16.53130759909641,14.617060969202456,2016,2016-01-01,2016-12-31,Landsat-8,9878.785996055227,10657.942800788955,12779.52366863905,14952.063116370808,19110.717948717946,26121.21597633136,22953.902366863906,21824.0
IRD_24,-16.535109124511937,14.617341400693892,2016,2016-01-01,2016-12-31,Landsat-8,9880.235932872656,10649.408687068115,12661.857847976307,14953.31589338598,19280.681145113518,26584.909180651535,23600.949654491607,21824.0
IRD_21,-16.531457943888814,14.61736986401856,2016,2016-01-01,2016-12-31,Landsat-8,9866.046351084813,10646.494082840236,12724.544378698223,14808.978303747534,18900.659763313608,25565.06804733728,22623.944773175543,21824.0
IRD_19,-16.533731438640686,14.617996735183388,2016,2016-01-01,2016-12-31,Landsat-8,10137.758382642998,10830.060157790927,12694.134122287967,14880.475345167653,19107.06015779093,26875.770216962526,24181.377712031557,21824.0
IRD_25,-16.534197663673,14.618212638092887,2016,2016-01-01,2016-12-31,Landsat-8,9901.929911154984,10686.500493583417,12774.480750246792,15144.371174728529,19566.864758144126,26673.586377097734,23629.350444225074,21824.0
IRD_23,-16.53038087257941,14.611128838739246,2016,2016-01-01,2016-12-31,Landsat-8,9814.428430404736,10618.754195459029,12686.021717670286,14957.025666337611,19221.14906219151,26859.112537018755,23827.99901283317,21824.0
IRD_26,-16.534067437084353,14.616938299963435,2016,2016-01-01,2016-12-31,Landsat-8,9793.438302073051,10500.010858835143,12283.372161895359,14226.110562685095,18175.97532082922,25312.094768015795,22369.252714708786,21824.0
