ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,QA_PIXEL
1552.0,-16.51335935761844,14.500183436743072,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795731,11516.6677409424,13216.175747871208,15820.7498012654,18918.179331928204,16648.18002091059,5461.303710751593
1564.0,-16.532109617979106,14.495150073827435,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795731,11516.6677409424,13216.175747871208,15820.7498012654,18918.179331928204,16648.180020910593,5461.303710751593
1550.0,-16.508925288901754,14.49877959126283,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795731,11516.667740942396,13216.175747871208,15820.7498012654,18918.179331928204,16648.180020910593,5461.303710751593
1554.0,-16.53909754335487,14.505907930996454,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795731,11516.667740942396,13216.175747871208,15820.7498012654,18918.179331928204,16648.180020910593,5461.303710751593
1560.0,-16.53260650293904,14.495152825279307,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795731,11516.6677409424,13216.175747871208,15820.7498012654,18918.179331928204,16648.180020910593,5461.303710751593
1558.0,-16.54341389193869,14.501778352628726,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795731,11516.6677409424,13216.175747871204,15820.7498012654,18918.1793319282,16648.18002091059,5461.303710751593
1568.0,-16.52731443640288,14.495490717569588,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795731,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1566.0,-16.52669433542558,14.49558980192673,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795731,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1562.0,-16.53327098000318,14.49496681568186,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.72183979574,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1556.0,-16.543274156452085,14.502258858730796,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.72183979574,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1576.0,-16.516475102085792,14.491115930273756,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1578.0,-16.516741552994333,14.491478565215425,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1574.0,-16.517685867144504,14.500501171721787,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1570.0,-16.517683318599733,14.498056687140943,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1572.0,-16.515746606099803,14.496030177881124,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1580.0,-16.50616461846065,14.500799027693045,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1584.0,-16.51084075146355,14.498282295387256,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1582.0,-16.50614067481764,14.500535929153026,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1586.0,-16.511170883669138,14.498677022835679,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1592.0,-16.522871192392003,14.492964240052878,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1594.0,-16.528837278376066,14.480134298839506,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1598.0,-16.53725168098131,14.490780875589238,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1590.0,-16.516894932919843,14.496688804971381,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1596.0,-16.507961747049325,14.50101298455555,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1600.0,-16.539083464142745,14.508362675397136,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
1588.0,-16.5172101208288,14.496565969212387,2016.0,2016-01-01,2016-12-31,Landsat-7,10345.721839795739,11516.6677409424,13216.175747871208,15820.7498012654,18918.1793319282,16648.180020910593,5461.303710751593
