ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,error,VV,VH,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
IRD_4,-16.50465204783986,14.589833517308367,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2705.230769230769,2556.6923076923076,2567.6153846153848,3092.961538461538,3256.846153846154,3610.961538461538,3965.25,3874.326923076923,4383.788461538461,1590.8076923076922,344.98076923076917,4033.9038461538457,3329.7115384615386
IRD_1,-16.50698122059441,14.589540770954374,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2695.6000000000004,2649.7999999999997,2612.2,3046.6000000000004,3196.6000000000004,3569.2000000000003,3913.2,3869.2,4344.6,1568.8000000000002,364.6,3886.2000000000003,3192.4
IRD_6,-16.50382135663012,14.59011156050252,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2632.74358974359,2505.2991452991455,2519.649572649573,3045.025641025641,3187.2393162393164,3526.9230769230776,3891.8034188034194,3794.4700854700864,4281.692307692308,1509.1794871794873,313.84615384615387,4049.2905982905986,3387.4529914529917
IRD_8,-16.50278669857985,14.590483651977955,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2544.0,2433.0,2463.0,2979.0,3134.0,3477.0,3855.0,3754.0,4251.0,1465.0,287.0,4228.0,3517.0
IRD_2,-16.506997857480123,14.589766642649971,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2702.0,2655.4000000000005,2629.0,3072.8,3217.6000000000004,3567.6000000000004,3905.0000000000005,3840.6000000000004,4321.6,1565.0,367.0,3878.0000000000005,3237.6000000000004
IRD_7,-16.502642573874223,14.588947121972398,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2651.6057692307695,2432.5192307692305,2416.2115384615386,2924.3653846153848,3085.4711538461543,3469.8942307692305,3858.125,3658.3076923076924,4249.932692307692,1527.9807692307695,305.50961538461536,3994.990384615385,3326.3846153846152
IRD_5,-16.504732830503073,14.589508422152495,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2726.6000000000004,2570.8,2558.4,3044.4,3209.4,3534.4000000000005,3919.2000000000007,3767.2000000000003,4338.6,1603.4,345.8,3890.8,3237.8
IRD_3,-16.50481317850653,14.590471649283188,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2698.0,2570.0,2577.0,3113.0,3281.0,3643.0,4059.0,3889.0,4418.0,1592.0,350.0,4099.0,3410.0
IRD_9,-16.503125662277043,14.590647874739055,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2610.2,2447.2,2503.4,3056.6,3196.6000000000004,3520.4,3878.6,3827.4,4259.2,1485.6000000000001,307.8,4216.0,3500.2000000000003
IRD_13,-16.529097866651092,14.61164894524053,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2720.333333333333,2699.563492063492,2680.7619047619046,3130.5158730158732,3261.1904761904766,3557.857142857143,3853.9285714285716,3838.960317460318,4221.007936507937,1602.3333333333335,408.0,3852.4285714285716,3236.420634920635
IRD_10,-16.505389786070417,14.589115482988158,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2728.0,2554.285714285714,2559.2380952380954,3015.3809523809523,3185.5238095238096,3512.0952380952385,3889.0952380952385,3729.238095238096,4232.619047619048,1585.0,349.0,3872.3809523809527,3247.857142857143
IRD_14,-16.528639407399186,14.611988669980342,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2694.0,2700.0,2707.0,3123.0,3228.0,3564.0,3891.0,3843.0,4265.0,1610.0,408.0,3694.0,3085.0
IRD_12,-16.507865037377435,14.585908536552227,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2740.190476190476,2684.4476190476194,2687.5523809523806,3240.4380952380952,3403.8380952380953,3764.2285714285713,4128.114285714286,3985.9809523809517,4520.742857142857,1634.5238095238094,368.61904761904765,4292.019047619047,3594.8761904761914
IRD_15,-16.527174887351578,14.61281252739986,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2804.0,2707.0,2677.0,3142.0,3263.0,3610.0,3922.0,3800.0,4238.0,1665.0,424.0,3640.0,3073.0
IRD_11,-16.500986805745914,14.579464652335734,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2758.0,2531.6380952380955,2556.32380952381,3076.0095238095237,3240.104761904762,3625.0571428571434,3978.485714285714,3814.409523809524,4383.057142857143,1641.0,381.0,4041.8952380952383,3316.114285714286
IRD_16,-16.52889227567515,14.613293882214867,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2879.0,2689.0,2691.0,3201.0,3336.0,3641.0,4009.0,3798.0,4379.0,1775.0,423.0,3781.0,3184.0
IRD_17,-16.529205831599658,14.613772549343047,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2850.2000000000003,2664.8,2658.2,3134.4000000000005,3289.0000000000005,3600.6,3928.0000000000005,3760.4000000000005,4288.0,1758.8000000000002,418.2,3658.0,3075.4000000000005
IRD_18,-16.533504268903478,14.617481587720153,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2654.6666666666665,2673.3333333333335,2574.8333333333335,2957.4999999999995,3056.0,3357.333333333333,3675.4999999999995,3655.5000000000005,4028.4999999999995,1574.0,451.6666666666667,3471.166666666666,2837.666666666666
IRD_19,-16.533731438640686,14.617996735183388,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2662.0283018867926,2692.2735849056603,2663.38679245283,3066.330188679245,3187.8490566037735,3468.8867924528304,3798.6415094339623,3771.5660377358495,4129.377358490567,1585.6981132075475,473.4716981132076,3633.11320754717,2984.103773584906
