Longitude_Latitude,ProfileID
"(-16.50314482009336, 14.582272193456435)",IRD_118
"(-16.503220215562866, 14.582740823085791)",IRD_119
"(-16.503053751322604, 14.583465108251481)",IRD_120
"(-16.502518018459742, 14.583233247060697)",IRD_121
"(-16.503395913519274, 14.583163486514902)",IRD_122
"(-16.503078031476974, 14.585612945999362)",IRD_123
"(-16.502047412453845, 14.585803760120795)",IRD_124
"(-16.502785388632358, 14.585315101804904)",IRD_125
"(-16.50207447387801, 14.586340464969563)",IRD_126
"(-16.501778760420695, 14.587131428649338)",IRD_127
"(-16.499838232741567, 14.584111506946392)",IRD_128
"(-16.499347116558507, 14.584738303082762)",IRD_129
"(-16.50207136915208, 14.583408182492466)",IRD_130
"(-16.506614189591783, 14.584956172207917)",IRD_131
"(-16.496643984883455, 14.580469979430623)",IRD_132
"(-16.533318264022544, 14.620881338023382)",IRD_133
"(-16.532572664087212, 14.620561871061595)",IRD_134
"(-16.53170299012649, 14.618201160212449)",IRD_135
"(-16.53125040557314, 14.618067749001233)",IRD_136
"(-16.535998331668743, 14.617148677562875)",IRD_137
"(-16.535877870036686, 14.617466096060989)",IRD_138
"(-16.530258712106967, 14.619246625459029)",IRD_139
"(-16.530926215714647, 14.619275658072297)",IRD_140
"(-16.530360796570466, 14.619663588047244)",IRD_141
"(-16.53212023389105, 14.618837218256168)",IRD_142
"(-16.531459980008307, 14.618984260201119)",IRD_143
"(-16.53180721538234, 14.619292430262854)",IRD_144
"(-16.531214217537972, 14.612332113110236)",IRD_145
"(-16.531005390191748, 14.611639737244575)",IRD_146
"(-16.52991673392028, 14.617012226976712)",IRD_147
"(-16.529891710060067, 14.615701653504491)",IRD_148
"(-16.533302231162065, 14.61932682629868)",IRD_149
"(-16.533751262475402, 14.620218068587144)",IRD_150
"(-16.532613090374365, 14.619666838683507)",IRD_151
"(-16.532730287719524, 14.619169708609308)",IRD_152
"(-16.53172671860603, 14.620229674721696)",IRD_153
"(-16.530408754397456, 14.616120366963639)",IRD_154
"(-16.523100061349588, 14.611873645552096)",IRD_155
"(-16.52273156701389, 14.61212964270138)",IRD_156
"(-16.522662049432764, 14.611321591504922)",IRD_157
"(-16.522341170667566, 14.612326922132338)",IRD_158
"(-16.519671344928646, 14.610392150412506)",IRD_159
"(-16.519803583198122, 14.610719955283933)",IRD_160
"(-16.51886184609749, 14.610722999552715)",IRD_161
"(-16.524415449415567, 14.613877837526543)",IRD_162
"(-16.51784463292989, 14.612088814871159)",IRD_163
"(-16.524564839051084, 14.605448704252805)",IRD_164
"(-16.524915193908996, 14.605426330234414)",IRD_165
"(-16.52455352975566, 14.604991843478023)",IRD_166
"(-16.52419820425551, 14.605788569961385)",IRD_167
"(-16.52482269570006, 14.606223544727618)",IRD_168
"(-16.52661912744993, 14.613828430175056)",IRD_169
"(-16.5258926622068, 14.61415451196119)",IRD_170
"(-16.525383357418605, 14.614198094029023)",IRD_171
"(-16.52615477609566, 14.613722879013931)",IRD_172
"(-16.527510030014653, 14.59211764599383)",IRD_173
"(-16.528190345829678, 14.592016289842594)",IRD_174
"(-16.528540514517776, 14.591517572965047)",IRD_175
"(-16.52746046213614, 14.590967449128048)",IRD_176
"(-16.52708424936088, 14.591320874672792)",IRD_177
"(-16.528324605034502, 14.590843531750101)",IRD_178
"(-16.515474979225814, 14.595135953333259)",IRD_179
"(-16.514275983645433, 14.594960518544772)",IRD_180
"(-16.514009088822004, 14.595312954078345)",IRD_181
"(-16.514772148213037, 14.594090987600374)",IRD_182
"(-16.514502729222396, 14.594436172766317)",IRD_183
"(-16.514091133212798, 14.594461069091661)",IRD_184
"(-16.513474803558285, 14.594651363981592)",IRD_185
"(-16.514861758914833, 14.59545202428977)",IRD_186
"(-16.502336098671165, 14.585009921919415)",IRD_187
"(-16.501631963862557, 14.583342502236302)",IRD_188
"(-16.501470314960745, 14.584218427270594)",IRD_189
"(-16.501150924329476, 14.583576111145128)",IRD_190
"(-16.501792064277957, 14.584029002155598)",IRD_191
"(-16.506332245444153, 14.586529640173692)",IRD_192
"(-16.50358260296465, 14.58713099436679)",IRD_193
"(-16.50292376714281, 14.58811458187197)",IRD_194
"(-16.502739347375844, 14.588406158745718)",IRD_195
"(-16.502023043763415, 14.588301415381652)",IRD_196
"(-16.5017283622146, 14.58763057818046)",IRD_197
"(-16.501978602967416, 14.590860717508436)",IRD_198
"(-16.501743858598257, 14.591028297650707)",IRD_199
"(-16.500938097080603, 14.591225860996678)",IRD_200
"(-16.50232661168922, 14.590799771503333)",IRD_201
"(-16.50360911423536, 14.584494155832097)",IRD_202
"(-16.501706584149527, 14.584963840704441)",IRD_203
