id,lon,lat
1,-16.549902622600356,14.533038446299537
2,-16.54993653136301,14.534547943898634
3,-16.549982311336667,14.536585797242642
4,-16.550031998601256,14.53879743913718
5,-16.550082293044753,14.54103595796396
6,-16.550132796488263,14.54328362783641
7,-16.550183397788537,14.545535500930141
8,-16.550234053688207,14.547789651523612
9,-16.550284743851385,14.550045174300536
10,-16.550335457457482,14.552301587541375
11,-16.550386188218766,14.554558611318214
12,-16.550436932231868,14.556816071848486
13,-16.550487686945473,14.55907385554004
14,-16.550538450621612,14.561331885008684
15,-16.5505892220355,14.563590105716193
16,-16.550640000299186,14.565848478118836
17,-16.55069078475322,14.568106972845625
18,-16.55074157489763,14.570365567624803
19,-16.550792370346468,14.572624245261084
20,-16.550843170797098,14.574882992267291
21,-16.55089397600885,14.57714179791592
22,-16.550944785787987,14.579400653567646
23,-16.550995599976783,14.581659552186808
24,-16.551046418445537,14.583918487985802
25,-16.55109724108665,14.586177456160089
26,-16.5511480678101,14.588436452687978
27,-16.551198898540004,14.590695474177425
28,-16.551249733211964,14.592954517747414
29,-16.551300571770977,14.595213580935267
30,-16.551351414169794,14.597472661623307
31,-16.5514022603676,14.599731757980546
32,-16.551453110328964,14.601990868415706
33,-16.551434856238355,14.604210187094473
34,-16.551224312501596,14.60644938166873
35,-16.551002834383937,14.60868664612062
36,-16.55078484825504,14.6108886147689
37,-16.55059548064515,14.612801478578703
38,-16.547361620871555,14.489746995556706
39,-16.547542348946568,14.491466867658788
40,-16.547770401844975,14.493637042038745
41,-16.547907142833505,14.495815090025209
42,-16.54795782546719,14.498073772163277
43,-16.548008501343983,14.500332546718505
44,-16.548059181937568,14.502591378640039
45,-16.548109867060084,14.504850259530526
46,-16.548160556558408,14.507109182541607
47,-16.548211250306448,14.509368142032516
48,-16.548261948199475,14.511627133315137
49,-16.54831265014978,14.513886152461044
50,-16.548363356083353,14.516145196153595
51,-16.548414065937344,14.518404261573318
52,-16.548464779658012,14.520663346308101
53,-16.548515497199162,14.522922448282191
54,-16.548566218520865,14.52518156569955
55,-16.548616943588435,14.527440696998248
56,-16.54866767237161,14.52969984081353
57,-16.548718361612316,14.531958956540485
58,-16.54874980448995,14.53421269881395
59,-16.54876554510964,14.536472266111335
60,-16.548781288443482,14.538731832957053
61,-16.54879703449161,14.54099139935103
62,-16.548812783254153,14.543250965293202
63,-16.54882853473124,14.5455105307835
64,-16.548844288923007,14.547770095821875
65,-16.54886004582958,14.550029660408251
66,-16.54887580545109,14.552289224542548
67,-16.54889156778767,14.55454878822473
68,-16.548907332839452,14.556808351454725
69,-16.548923100606565,14.559067914232449
70,-16.54893887108914,14.56132747655786
71,-16.54895464428731,14.563587038430882
72,-16.5489704202012,14.565846599851454
73,-16.54898619883095,14.568106160819507
74,-16.549001980176687,14.570365721334984
75,-16.54901776423854,14.572625281397814
76,-16.54903355101664,14.574884841007936
77,-16.54904934051112,14.577144400165286
78,-16.549065132722117,14.579403958869795
79,-16.549080927649754,14.581663517121402
80,-16.549096725294163,14.583923074920039
81,-16.54911252565548,14.586182632265643
82,-16.549128328733833,14.588442189158155
83,-16.54914413452935,14.590701745597501
84,-16.54915994304217,14.592961301583626
85,-16.54917575427242,14.595220857116457
86,-16.54919156822023,14.597480412195932
87,-16.549207384885737,14.599739966821991
88,-16.54922320426907,14.601999520994562
89,-16.549239026370355,14.604259074713587
90,-16.54925485118973,14.606518627978991
91,-16.549270678727325,14.608778180790724
92,-16.54928650898327,14.611037733148716
93,-16.54929978854906,14.613295026907698
94,-16.54916758081272,14.615512934189695
95,-16.54882246697918,14.617402144287247
96,-16.54499737469073,14.478288998190079
97,-16.54519301550564,14.4801511666603
98,-16.54542347462863,14.482344685859372
99,-16.545658081556383,14.484577616846202
100,-16.545893932885484,14.486822323408612
101,-16.546094559400675,14.48905250838103
102,-16.546132073213233,14.49129610757612
103,-16.546147738813524,14.493555685925344
